id,user_id,question_id,functions,comment,timestamp
1,57,42,Referring to entities; Situating entities in space; Situating events or entities,,2026-02-10 15:34:02.328624
2,57,43,Making statements; Describing; Referring to the acting or experiencing entity,,2026-02-10 15:35:59.476508
3,57,44,Referring to entities; Describing; Expressing condition; Expressing degree,,2026-02-10 15:36:20.937057
4,57,45,Referring to entities; Describing,,2026-02-10 15:37:23.36376
5,57,46,Situating entities in space; Expressing beliefs and opinions; Expressing certainty; Expressing condition; Expressing cause,,2026-02-10 15:37:51.335205
6,57,46,Situating entities in space; Expressing beliefs and opinions; Expressing certainty; Expressing condition; Expressing cause,"This is quite broad. Theoretically, you can express a wide range of things by only this construction.
",2026-02-10 15:39:19.632326
7,57,46,Situating entities in space; Expressing beliefs and opinions; Expressing certainty; Expressing condition; Expressing cause,"This is quite broad. Theoretically, you can express a wide range of things by only this construction.
",2026-02-10 15:39:21.579591
8,57,47,Situating entities in space; Expressing certainty; Expressing condition,,2026-02-10 15:40:50.604468
9,57,48,Referring to entities; Expressing quantity; Reporting information,,2026-02-10 15:41:08.194302
10,57,49,Referring to entities; Expressing possession; Specifying information,,2026-02-10 15:41:27.392538
11,57,50,Describing; Referring to self,,2026-02-10 15:42:03.225026
12,57,51,Referring to entities; Situating entities in space,,2026-02-10 15:42:35.065715
13,57,51,Referring to entities; Situating entities in space,,2026-02-10 15:42:44.227203
14,57,52,Situating events or entities; Situating entities in space,,2026-02-10 15:43:04.405082
15,57,53,Situating events or entities; Expressing certainty; Expressing condition; Expressing degree,,2026-02-10 15:43:29.298065
16,57,54,"Referring to actions, states or relations; Referring to future actions and events; Referring to entities; Referring to impersonal events; Referring to past actions and events",,2026-02-10 15:43:59.541353
17,57,55,"Referring to present states, events and facts; Expressing progression; Expressing beliefs and opinions",,2026-02-10 15:44:19.771162
18,57,56,"Referring to present states, events and facts; Expressing evaluation; Expressing hypotheses or inferences",,2026-02-10 15:44:44.125283
19,57,57,"Referring to present states, events and facts; Expressing negation; Referring to third-person subjects",,2026-02-10 15:45:03.00322
20,57,58,"Referring to present states, events and facts; Expressing degree",,2026-02-10 15:45:17.166473
21,57,59,Referring to the acting or experiencing entity; Referring to entities; Referring to third-person subjects; Requesting,,2026-02-10 15:45:40.748247
22,57,60,Referring to entities; Referring to third-person subjects; Referring back to entities; Expressing quantity,,2026-02-10 15:46:01.463871
23,57,61,Referring to entities; Referring to the affected entity,,2026-02-10 15:46:32.395763
